,w1 (Cost),w2 (Risk),w3 (Carbon),Cost [EUR],Risk [EUR],Carbon [EUR],Avg x1 [MWh],Avg x2 [MWh],Avg x3 [MWh],x1 % of demand,x2 % of demand,x3 % of demand
Cost-focused,0.7,0.2,0.1,24990139.23216284,1911.4607627022,802308.7624065096,5.1762573308785775,2.2598667347183934,49.64150150517929,9.068802843699268,3.9592865192266258,86.97191063707412
Balanced,0.34,0.33,0.33,25272039.718934484,1133.1442059389396,746723.4610189623,4.26093653283348,5.495430288661825,47.32125874928096,7.465160805524255,9.62799386573552,82.90684532874025
Risk-averse,0.2,0.7,0.1,25162050.52695257,121.80486412701134,785730.1702968291,3.894268149967048,3.20900702322306,49.97435039758615,6.822757798742267,5.622180304686801,87.55506189657095
Green-focused,0.2,0.1,0.7,25630325.496918533,7246.590769380904,697939.8428337318,4.538009648807269,8.688757528630543,43.85085839333844,7.950592904710336,15.222703190160711,76.82670390512895
